Нет я не бот | ты точно не бот?
папа Карло прям, без устали работаешь? | 9 артов за 2 дня залил
Спасибо | Офигеееть,ну ты молодец)
красава | 9 артов за 2 дня залил
Зачем так много? | 9 артов за 2 дня залил
куда планируешь поступать? | Поступать буду,в том году шк закончила)
отдыхаешь? | Поступать буду,в том году шк закончила)
Только? 11? | Поступать буду,в том году шк закончила)
Офигеееть,ну ты молодец) | 9 артов за 2 дня залил
Поступать буду,в том году шк закончила) | Таня а ты учишься где то?
Молодец | 9 артов за 2 дня залил
Та да просто лень хах | как говорится раз в недельку можно согрешить)
9 артов за 2 дня залил | Как успехи ?
как говорится раз в недельку можно согрешить) | Так я не постоянно
Тоже,покушала вот | отлично, у тебя как?
Отлично | Как успехи ?
есть много | А сколько дам на проекте парни?
Как успехи ? | Доброе
Так я не постоянно | постоянно на дошике нельзя)
отлично, у тебя как? | Как дела ?)
лютая штука | курочку с макарошками))
постоянно на дошике нельзя) | Я дошик запарил и норм хах
Это отлично, интересно посмотреть | Пока отдыхаю, позже буду Арт ещё делать мб
Как дела ?) | Доброе)
курочку с макарошками)) | Что будешь кушать?
Дааа) я тут с вами)) | Да в моменте что-то потерял тебя, думал вообще вылетела из этой темы, но теперь ты вернулась)
мне хорошо будет хотя бы позавтракать) | готовлю обед
Тоже самое | а ты чем занят?
Да в моменте что-то потерял тебя, думал вообще вылетела из этой темы, но теперь ты вернулась) | Ахахахах,серьезно ?
Привет ! | Таня привки!
Я дошик запарил и норм хах | готовлю обед
Что будешь кушать? | готовлю обед
Пока отдыхаю, позже буду Арт ещё делать мб | кто что делает?
Кушать ща пойду | кто что делает?
а ты чем занят? | кто что делает?
готовлю обед | кто что делает?
Таня привки! | Всем доброе утро 😋
Верно | Тоже так считаю, лучше беречь здоровье пока оно не испортилось
У тебя утро? Спала чтоли? | Всем доброе утро 😋
Доброе | Всем доброе утро 😋
Доброе) | Всем доброе утро 😋
Ахахахах,серьезно ? | Привет, я тебя ждал😂
Доброе утро | Всем доброе утро 😋
Привет, я тебя ждал😂 | Всем доброе утро 😋
Если надо, пишите, на этом ещё и сами заработать можете потом | в целом интересная тема, но не для меня, сори
долго делал? | Спасибо!)
шиккарно | Ребзя, оцените арт пожалуйста! https://discord.com/channels/921814203734585344/921814205206765616/941664935203721226
аххаха, нет) ни на одно сообщение вчера не ответил, только прочитал | не правда))
я всегда тебе по возможности отвечаю
Спасибо!) | крутой арт
крутой арт | Ребзя, оцените арт пожалуйста! https://discord.com/channels/921814203734585344/921814205206765616/941664935203721226
в целом интересная тема, но не для меня, сори | Что-то типо этого, но есть много моментов, которые нужно знать в этой теме
Нормас | Ребзя, оцените арт пожалуйста! https://discord.com/channels/921814203734585344/921814205206765616/941664935203721226
Нет, мне просто тоже бонусы от банка прилетают) | платно?)
это да, однако мой поезд уже ушел, очки по кд ношу | Тоже так считаю, лучше беречь здоровье пока оно не испортилось
не правда))
я всегда тебе по возможности отвечаю | ахахаха,ты вообще-то злюка,игноришь меня)
Что-то типо этого, но есть много моментов, которые нужно знать в этой теме | ты про партнерки, по типу рефераллок у тиньков?
ахахаха,ты вообще-то злюка,игноришь меня) | <@!939866847472414751> ты злая?
я кстати уже их сделал, нормальная тема | Кому кстати тема интересна, я помогаю забирать бонусы, которые разные банки своим пользователям предлагают, но не все умеют их обналичивать. Если интересно, могу дать свои контакты( все легально)
Тоже так считаю, лучше беречь здоровье пока оно не испортилось | Вроде как доказано что оно не портится вовсе, а просто устают глаза и им нужно время на восстановления, но если проводишь много времени с монитором мне кажется стоить обзавестись очками
платно?) | Кому кстати тема интересна, я помогаю забирать бонусы, которые разные банки своим пользователям предлагают, но не все умеют их обналичивать. Если интересно, могу дать свои контакты( все легально)
ты про партнерки, по типу рефераллок у тиньков? | Кому кстати тема интересна, я помогаю забирать бонусы, которые разные банки своим пользователям предлагают, но не все умеют их обналичивать. Если интересно, могу дать свои контакты( все легально)
Так я тоже делал | Не знаю, не отмечал. Просто просил оценить в чатах
Ну эта твоя noshit | не помню, но она хорошо растет
Примерно 42к сейчас | Зайди на бинанс да глянь
Вроде как доказано что оно не портится вовсе, а просто устают глаза и им нужно время на восстановления, но если проводишь много времени с монитором мне кажется стоить обзавестись очками | Ну я думаю они и этих денег стоять будут, ты считай покупаешь себе зрение. Оно ведь портится за монитором
Зайди на бинанс да глянь | Ну сколько крипта стоит ?
не помню, но она хорошо растет | Ну сколько крипта стоит ?
??? ты про какую конкретно | Ну сколько крипта стоит ?
йоу | йоу
Красава я тоже | 9 ранк апнул!
Ну сколько крипта стоит ? | всм
хорош | 9 ранк апнул!
увидят | Надеюсь на это, было бы не плохо чтобы хотя бы 2 мой увидили
Надеюсь на это, было бы не плохо чтобы хотя бы 2 мой увидили | они в целом и так смотрят
всм | А скок она стоит ?
не вижу смыслка покупать крипту конкретную в долгосрок, если  у тебя банк меньше 10к$ | Как думаете какая щас крипта самая лучшая на данный момент ну покупать ее
А скок она стоит ? | noshit
Попробуй | А когда Арт постишь фаундеров можно отмечать? Мне кажется это как чит код
noshit | Как думаете какая щас крипта самая лучшая на данный момент ну покупать ее
Напишу чуть позже тогда | тг sixchar2
Конечно напишу | Давай, как сделаешь пиши. Оценим!
Не знаю, не отмечал. Просто просил оценить в чатах | А когда Арт постишь фаундеров можно отмечать? Мне кажется это как чит код
Ну я думаю они и этих денег стоять будут, ты считай покупаешь себе зрение. Оно ведь портится за монитором | Я кстати тоже думал, если я правильно понял что ты про очки которые просто фильтруют типо? Я что-то узнавал мне сказали 7к+ придётся
они в целом и так смотрят | А когда Арт постишь фаундеров можно отмечать? Мне кажется это как чит код
Как думаете какая щас крипта самая лучшая на данный момент ну покупать ее | тоже открыл для себя крипту, тут потихоньку зарабатываю
А когда Арт постишь фаундеров можно отмечать? Мне кажется это как чит код | Пробуй всё, должно получиться класс
думаю вполне, хоть я тут и недавно) | ?
ну лвл побольше и да | Есть шансы получить вл
Давай, как сделаешь пиши. Оценим! | Хм, ну значит сегодня/завтра пробовать буду
тоже открыл для себя крипту, тут потихоньку зарабатываю | тоже раньше подобным занимался, пока крипту для себя не открыл
Есть шансы получить вл | Нормально будет тогда
Хм, ну значит сегодня/завтра пробовать буду | Пробуй всё, должно получиться класс
И ты из украины, вас тут много, я из России матушки | киев
тг sixchar2 | Дизайном лендосов или всего подряд? Сможешь свой номер написать, я с тобой свяжуь, мне дизайн нужен иногда
Нормально будет тогда | Мемы 3 штуки Арты думаю попросить друга и рефералов тоже будут
тоже раньше подобным занимался, пока крипту для себя не открыл | сайты, реклама
Я кстати тоже думал, если я правильно понял что ты про очки которые просто фильтруют типо? Я что-то узнавал мне сказали 7к+ придётся | У меня тоже голова начинает болеть, думаю себе очки приобрести, чтобы глаза так не болели
понял, удачи тебе во всех начинаниях тогда | сайты, реклама
Дизайном лендосов или всего подряд? Сможешь свой номер написать, я с тобой свяжуь, мне дизайн нужен иногда | сейчас в нфт углубился, паралельно дизайном занимаюсь
Мемы 3 штуки Арты думаю попросить друга и рефералов тоже будут | но еще мемы и арты нужны
сайты, реклама | в плане одежды или как
Программированием ещё бы, и будет комплект | сейчас в нфт углубился, паралельно дизайном занимаюсь
но еще мемы и арты нужны | Ну за вчера только 2 лвла апнул за сегодня уже 5 левелов апнул тоисть 7 будет думаю до 10 за сегодня дойду
Пробуй всё, должно получиться класс | Понял спасибо, я хорошо канвой владею, но это чуть другое приложение, вот думаю мб всё таки там попробовать
Привет, мы с тобой) | Всем привет! Немного отдохнул и готов продолжить свой путь к розовому цвету🚀
У меня тоже голова начинает болеть, думаю себе очки приобрести, чтобы глаза так не болели | Ну у меня вчера не глаза устали, а под конец дня голова болела жёстко
в плане одежды или как | дизайнер
сейчас в нфт углубился, паралельно дизайном занимаюсь | В таких де темках разных или фриланс?
❤️  благодарю | Вот у Забузы очень крутые арты
Понял спасибо, я хорошо канвой владею, но это чуть другое приложение, вот думаю мб всё таки там попробовать | Пикс арт PS express
киев | Круто, а родом откуда? Где живешь?
Ну за вчера только 2 лвла апнул за сегодня уже 5 левелов апнул тоисть 7 будет думаю до 10 за сегодня дойду | смотря какая активность будет
Вот у Забузы очень крутые арты | а чем ты еще занимаешься?
В таких де темках разных или фриланс? | работаю
Спасибо бро | По твоим Артам видно
дизайнер | а чем ты еще занимаешься?
Круто, а родом откуда? Где живешь? | меня дима!
нашел этот проект в телеге , скинули товарищи
По твоим Артам видно | я им уже 2 года увлекаюсь
а чем ты еще занимаешься? | работаю
работаю | Не плохо так😂 а что обычно делаешь на нем?
Не плохо так😂 а что обычно делаешь на нем? | да нет, я привык, я по 12 часов в компе)
Ну у меня вчера не глаза устали, а под конец дня голова болела жёстко | Сильно глаза учтают зависать тут?
Ну ща я на пк делать стал | Да, их вообще и с телефона можно замутить , но с компа удобнее конечно
смотря какая активность будет | Ребята как думаете мне вл дадут ?
Пикс арт PS express | Через какие приложения?
Да, их вообще и с телефона можно замутить , но с компа удобнее конечно | Я сам многие на телефоне сделал
я им уже 2 года увлекаюсь | Фотошоп пытался, раньше что-то умел там, но щас позабылось всё
да нет, я привык, я по 12 часов в компе) | Сильно глаза учтают зависать тут?
но чем быстрее мы его получим, тем лучше) | пока не известно
Через какие приложения? | Я сам многие на телефоне сделал
Фотошоп пытался, раньше что-то умел там, но щас позабылось всё | А ты через какие программы делать хотел? Просто многие на телефоне делают
пока не известно | а количестве мест в вл известно, а то я не нашел нигде инфу?
Не знаю должны скоро выдать | ну типа . че по вл , какие новости , че расскажете?
Я сам многие на телефоне сделал | Да я представления тоже имел что хочу сделать, просто не получилось реализовать
Сильно глаза учтают зависать тут? | я с компика)
задавай вопросы | ну типа . че по вл , какие новости , че расскажете?
А ты через какие программы делать хотел? Просто многие на телефоне делают | Да я представления тоже имел что хочу сделать, просто не получилось реализовать
Привет, рады тебя видеть, расскажи о себе немного))) как зовут? | хелоу мужики
я с компика) | Глаза устают конечно, когда с мобилы сидишь, я тоже с мобилы
ну типа . че по вл , какие новости , че расскажете? | Я думал китти
Вчера так же пол дня делал | имба
Я думал китти | хелоу мужики
Глаза устают конечно, когда с мобилы сидишь, я тоже с мобилы | ты активный,все будет!
Да я представления тоже имел что хочу сделать, просто не получилось реализовать | Я не смотрел уроки, чисто фантазия
только я наоборот | Ага
Ага | имба
Я не смотрел уроки, чисто фантазия | Мужик, у тебя крутые Арты получаются, как научился делать, какие уроки смотрел?
имба | Я с мобилы сижу, а на пк видосы и сериалы смотрю
Я с мобилы сижу, а на пк видосы и сериалы смотрю | Кто тут с ПК сидит а кто с мобилы?
Мужик, у тебя крутые Арты получаются, как научился делать, какие уроки смотрел? | Хорош
я с пк | Кто тут с ПК сидит а кто с мобилы?
я с пк | Кто тут с ПК сидит а кто с мобилы?
ты активный,все будет! | спасибо бро
z c gr | Кто тут с ПК сидит а кто с мобилы?
С мобилы | Кто тут с ПК сидит а кто с мобилы?
могу скрин кинуть | Ты правильно тикет открыл? Что ты туда написал ?
неплохо они так | Потом они большую тиму надрубили на 400к
ну неплохо | Они с нашего города, шансы есть, но маленькие. Потому что щас всех на карантин посадили
Спасибо💪🏿💪🏿 | Хорош
спасибо бро | давай бро, держим за тебя кулочки
Хорош | Ураааа 11 лвл дали 🥳🥳🥳🥳
От души 💪🏿💪🏿🥳 | поздравляю)
поздравляю) | Ураааа 11 лвл дали 🥳🥳🥳🥳
Спасибо друг😁🤝 | Поздравляю
Потом они большую тиму надрубили на 400к | да он бы их никак не нашел все равно
поздравляю) | Ураааа 11 лвл дали 🥳🥳🥳🥳
гив будет скорее всего | Сегодня конкурс будет??
Поздравляю | Ураааа 11 лвл дали 🥳🥳🥳🥳
Ты правильно тикет открыл? Что ты туда написал ? | 6артов
Они с нашего города, шансы есть, но маленькие. Потому что щас всех на карантин посадили | да он бы их никак не нашел все равно
да все так же, общаемся | Пришел немного поработать. Интересное что то было?
Спасибо, хорошо) | привет, отлично, ты как?
давай бро, держим за тебя кулочки | я отправил тикет, надеюсь на лучшее теперь
привет, отлично, ты как? | Добрый день
Пришел немного поработать. Интересное что то было? | Привет, все отлично а ты как?
Привет, все отлично а ты как? | Добрый день
да он бы их никак не нашел все равно | Кнш обидно, один мне мозги дня три тёр, то что искать их будет
6артов | Арты есть ?
оо,ждём | я отправил тикет, надеюсь на лучшее теперь
Кнш обидно, один мне мозги дня три тёр, то что искать их будет | кпц обидел им наверное
Арты есть ? | я вчера весь день там провёл
Ночью | Пиши в мэйн что-то
я вчера весь день там провёл | Пиши в мэйн что-то
Спасибо | Окей,удачи
Огоо, жалко ребят, столько времени потерять, и вот так быть потом кинутым | Они получили ВЛ , но парни с которыми они работали, кинули их
Пиши в мэйн что-то | я отправил тикет, надеюсь на лучшее теперь
кпц тупо это | Ну типо им дали аккаунт который надо было качать, они кочнули и со*нули
Окей,удачи | Да я тянусь до 7
тогда хорошо | с каждого вроде по 12-17 хр
я отправил тикет, надеюсь на лучшее теперь | Ты будешь без перерыва сидеть ?
Ну типо им дали аккаунт который надо было качать, они кочнули и со*нули | сколько профита у них вышло?
с каждого вроде по 12-17 хр | а не знаете тут опыт дают за сообщение в минуту или как?
Кстати тоже интересует этот вопрос, но вроде чем объёмней смс, тем лучше | а не знаете тут опыт дают за сообщение в минуту или как?
На полу пути до 7 лвла | какой лвл уже?
кпц обидел им наверное | Их кинули
Да, согласен с тобой | Ну бывает и такое, главное не увлекаться на посторонне
Да я тянусь до 7 | Ты будешь без перерыва сидеть ?
Их кинули | сколько профита у них вышло?
Они получили ВЛ , но парни с которыми они работали, кинули их | Это жесть конечно, они хоть нормально с этого поимели?
сколько профита у них вышло? | У меня 2 друга на одном аккаунте сидели качали 60 лвл. Это они были на Орлах. Они 2 недели сидели без остановки. Это пипец
Ну бывает и такое, главное не увлекаться на посторонне | я до этого отвлекался и в мейн чате общался, поэтому не очень
Ты будешь без перерыва сидеть ? | Думаю за сегодня апну хотябы 10 это будет очень хорошо а если постараться то может быть апну 11-12
какой лвл уже? | Ну уже 4 час вроде пошёл правда первый час очень тупил мало писал
Это жесть конечно, они хоть нормально с этого поимели? | У меня 2 друга на одном аккаунте сидели качали 60 лвл. Это они были на Орлах. Они 2 недели сидели без остановки. Это пипец
Ну уже 4 час вроде пошёл правда первый час очень тупил мало писал | круто, за сколько по времени?)
до, но не так активно как раньше | хорош, занимаешься еще?
я до этого отвлекался и в мейн чате общался, поэтому не очень | Много набиваешь за это время?
У меня 2 друга на одном аккаунте сидели качали 60 лвл. Это они были на Орлах. Они 2 недели сидели без остановки. Это пипец | Я думаю нужно прям до позднего вечера тут пропасть😅
Неплохо | Ну я просто со второго за сегодня на 6 перепрыгнул хах
круто, за сколько по времени?) | Ну я просто со второго за сегодня на 6 перепрыгнул хах
Много набиваешь за это время? | я обычно с 11 до 4 сижу
Нет, инвайты, арт и мэйн чат | чисто за уровень?
Мера должна быть у всего, чем старше, тем яснее это понимаешь | Я тоже считаю что смотреть надо в меру
Ну я просто со второго за сегодня на 6 перепрыгнул хах | На 15, а у тебя какой ?
я обычно с 11 до 4 сижу | Я думаю нужно прям до позднего вечера тут пропасть😅
Я тоже считаю что смотреть надо в меру | Да уже как-то и не тянет меня, жалко время убивать на такую тему
Я думаю нужно прям до позднего вечера тут пропасть😅 | я вот хочу сегодня до 14 дойти
чисто за уровень? | На 15, а у тебя какой ?
6 только апнул | На 15, а у тебя какой ?
ты сможешь | я думаю до 11 хотя бы
На 15, а у тебя какой ? | А вл на каком дали ?
Скинь мне пару хах | бля 15 артов ебанул и не могу их отправить
Да уже как-то и не тянет меня, жалко время убивать на такую тему | Да, у многих так. Я тоже начал потом забил, опять начал опять забил. Вот вроде пока смотрю
А вл на каком дали ? | 17
Ого, хорош | я вот хочу сегодня до 14 дойти
я вот хочу сегодня до 14 дойти | Да, в чатике завис пока, пообщаюсь думаю с народом , узнаю как у кого дела
17 | У тебя какой лвл ?
Давно смотрел, года 4 назад, уже вообще ничего не смотрю | Ты смотришь турецкие сериалы ?
А точно | индийские
да не за что | понятненько, спасибо)
индийские | Ты смотришь турецкие сериалы ?
понятненько, спасибо) | неизвестно, но лвл сильно влияет
У тебя какой лвл ? | Ты смотришь турецкие сериалы ?
Да, в чатике завис пока, пообщаюсь думаю с народом , узнаю как у кого дела | Согласен с тобой, а ты что делал? чатилс?
Ты смотришь турецкие сериалы ? | «Черная любовь» от начала и до конца просмотрел, но самый бомбовый это: «запах клубники»
а ща какой | добить 20 лвл до следующей среды
неизвестно, но лвл сильно влияет | для вайтлиста нужен какой-то определенный лвл? или я могу быть к примеру 5 уровень, но пилить контент и за это получить вл?
Да, у многих так. Я тоже начал потом забил, опять начал опять забил. Вот вроде пока смотрю | Начал смотреть как-то этот сериал, но понял что много времени занимает у меня и перестал
Также само хахах | добить 20 лвл до следующей среды
Мне кажется ты раньше сможешь | добить 20 лвл до следующей среды
Начал смотреть как-то этот сериал, но понял что много времени занимает у меня и перестал | Бесстыжих
Согласен с тобой, а ты что делал? чатилс? | Да, иногда нужно, а то все равно устаешь от этой темы😉😕
ток что 11 добил | А у тебя какой лвл ?
Да, иногда нужно, а то все равно устаешь от этой темы😉😕 | на минут 10 отходил
А у тебя какой лвл ? | правда редко оч играю, попросту негде
смотрел, клево | Бесстыжих
хороший сериал | Бесстыжих
Аа, ну с девушками тоже интересно будет играть, может и встретишь кого | Нет, я по рофлу написал
Та да ) | красава, 20 не за горами)
Бесстыжих | Какой смотришь?
на минут 10 отходил | Привет, ты уходил?
красава, 20 не за горами) | Ребята я уже 6 апнул ))))))
Привет, ты уходил? | Привет всем
Какой смотришь? | Отлично, сериал смотрю
Нет, я по рофлу написал | Ты девушка?
Отлично, сериал смотрю | как дела?
настольный прикольно | Люблю теннис, пока только в настольный играю, но в большой тоже начну чвть позже играть
Ты девушка? | А меня женский теннис
как дела? | Здарова
Люблю теннис, пока только в настольный играю, но в большой тоже начну чвть позже играть | а тебе какой вид спорта нравится?
Здарова | Привет всем
А меня женский теннис | Меня настольный теннис привлекает
а тебе какой вид спорта нравится? | Я в баскет не оч люблю
Я в баскет не оч люблю | я люблю его но не могу играть с своими друзьями
Такая же тема, не кто не умеет играть | я люблю его но не могу играть с своими друзьями
Пожалуй ты прав мой друг, я это тоже заметил, потому в футбик редко играю | чтобы был какой-то азарт
это факт) | Да, смотреть интересней за ними иногда, чем против них играть
